League,Date,Team,Opponent,Location,PTS,MIN,FGM-A,FG%,3PM-A,3P%,FTM-A,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,Points off Turnovers,2nd Chance Points,Points in the Paint,Fastbreak Points,Bench Points,Conference
MBB,2023-11-11,Chicago,Caltech,Home,88,200,33-67,49.25373134328358,13-34,38.23529411764706,9-12,75.0,11,32,43,19,6,4,5,14,16,11,32,11,33,False
MBB,2023-11-11,Eastern,Case Western,Away,72,200,26-75,34.666666666666664,5-18,27.77777777777778,15-19,78.94736842105263,18,18,36,9,14,3,7,15,21,13,38,18,13,False
MBB,2023-11-11,Johns Hopkins,NYU,Away,67,200,26-61,42.62295081967213,8-23,34.78260869565217,7-12,58.333333333333336,13,19,32,10,8,3,10,15,12,11,26,6,11,False
MBB,2023-11-11,Maryville (TN),Rochester,Away,66,200,22-60,36.66666666666666,3-14,21.428571428571427,19-27,70.37037037037037,10,23,33,8,11,1,14,24,17,8,30,7,23,False
MBB,2023-11-11,Mass.-Dartmouth,Brandeis,Away,77,200,27-64,42.1875,5-17,29.41176470588235,18-23,78.26086956521739,13,28,41,9,7,3,16,24,45,19,30,0,8,False
MBB,2023-11-11,NYU,Johns Hopkins,Home,71,200,26-53,49.0566037735849,7-12,58.333333333333336,12-18,66.66666666666667,12,25,37,11,5,4,15,17,8,12,28,5,24,False
MBB,2023-11-11,Rochester,Maryville (TN),Home,87,200,28-58,48.27586206896552,10-25,40.0,21-32,65.625,13,33,46,16,7,7,14,19,19,18,36,9,37,False
MBB,2023-11-11,Swarthmore,WashU,Away,56,200,24-63,38.095238095238095,6-19,31.57894736842105,2-3,66.66666666666667,10,17,27,10,5,1,13,11,16,11,30,4,13,False
MBB,2023-11-11,WashU,Swarthmore,Home,76,200,31-54,57.407407407407405,4-18,22.22222222222222,10-12,83.33333333333333,7,29,36,14,7,7,14,9,15,4,50,14,12,False
MBB,2023-11-12,Carnegie Mellon,Whitman,Away,86,200,35-67,52.23880597014925,4-16,25.0,12-17,70.58823529411765,6,25,31,13,8,4,9,17,11,8,48,16,9,False
MBB,2023-11-12,Chicago,IIT,Home,80,200,29-53,54.71698113207548,10-23,43.47826086956522,12-20,60.0,9,23,32,15,6,4,13,12,16,9,28,8,26,False
MBB,2023-11-12,Emory,Piedmont,Away,91,200,30-73,41.0958904109589,13-38,34.21052631578947,18-32,56.25,23,33,56,21,8,3,16,20,15,13,30,20,18,False
